Date : 2026-07-08 15:38:03
Directory : /Users/pedroottoni/ibiferti
Total : 99 files,  27790 codes, 426 comments, 1599 blanks, all 29815 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         12 |     16,475 |          4 |         12 |     16,491 |
| TypeScript JSX     |         22 |      4,538 |        247 |        435 |      5,220 |
| TypeScript         |         36 |      3,804 |        150 |        578 |      4,532 |
| Markdown           |          7 |      1,823 |          0 |        453 |      2,276 |
| HTML               |          2 |        757 |          8 |         83 |        848 |
| YAML               |          3 |        139 |          3 |         18 |        160 |
| MS SQL             |          3 |        117 |          4 |          1 |        122 |
| XML                |          5 |         38 |          0 |          5 |         43 |
| JavaScript         |          2 |         32 |          1 |          2 |         35 |
| Properties         |          1 |         29 |          5 |          6 |         40 |
| JSON with Comments |          2 |         22 |          0 |          1 |         23 |
| Docker             |          2 |         14 |          4 |          5 |         23 |
| PostCSS            |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                            |         99 |     27,790 |        426 |      1,599 |     29,815 |
| . (Files)                                                                    |         11 |      3,546 |         11 |        531 |      4,088 |
| .github                                                                      |          1 |         52 |          0 |         10 |         62 |
| .github/workflows                                                            |          1 |         52 |          0 |         10 |         62 |
| backend                                                                      |         40 |     13,730 |        134 |        445 |     14,309 |
| backend (Files)                                                              |          6 |      9,125 |          0 |          4 |      9,129 |
| backend/drizzle                                                              |          7 |      1,832 |          4 |          1 |      1,837 |
| backend/drizzle (Files)                                                      |          3 |        117 |          4 |          1 |        122 |
| backend/drizzle/meta                                                         |          4 |      1,715 |          0 |          0 |      1,715 |
| backend/src                                                                  |         27 |      2,773 |        130 |        440 |      3,343 |
| backend/src (Files)                                                          |          1 |         24 |          0 |          6 |         30 |
| backend/src/database                                                         |          5 |        416 |         17 |         78 |        511 |
| backend/src/middlewares                                                      |          1 |         32 |          1 |          6 |         39 |
| backend/src/routes                                                           |          6 |        670 |         48 |        100 |        818 |
| backend/src/schemas                                                          |          3 |        274 |          6 |         47 |        327 |
| backend/src/services                                                         |          9 |      1,022 |         58 |        149 |      1,229 |
| backend/src/utils                                                            |          2 |        335 |          0 |         54 |        389 |
| frontend                                                                     |         47 |     10,462 |        281 |        613 |     11,356 |
| frontend (Files)                                                             |         12 |      4,925 |         16 |         38 |      4,979 |
| frontend/public                                                              |          3 |         36 |          0 |          4 |         40 |
| frontend/src                                                                 |         32 |      5,501 |        265 |        571 |      6,337 |
| frontend/src (Files)                                                         |          4 |         65 |         10 |          9 |         84 |
| frontend/src/assets                                                          |          2 |          2 |          0 |          1 |          3 |
| frontend/src/components                                                      |          4 |        298 |         18 |         26 |        342 |
| frontend/src/contexts                                                        |          1 |         86 |         18 |         29 |        133 |
| frontend/src/layouts                                                         |          2 |         96 |         17 |         14 |        127 |
| frontend/src/pages                                                           |         13 |      3,995 |        184 |        357 |      4,536 |
| frontend/src/schemas                                                         |          2 |        281 |          6 |         36 |        323 |
| frontend/src/services                                                        |          4 |        678 |         12 |         99 |        789 |
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                     | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/pedroottoni/ibiferti/.github/workflows/main.yml                       | YAML               |         52 |          0 |         10 |         62 |
| /Users/pedroottoni/ibiferti/README.md                                        | Markdown           |         33 |          0 |         12 |         45 |
| /Users/pedroottoni/ibiferti/adubacao.md                                      | Markdown           |        949 |          0 |        212 |      1,161 |
| /Users/pedroottoni/ibiferti/auditoria_adubacao.html                          | HTML               |        744 |          8 |         82 |        834 |
| /Users/pedroottoni/ibiferti/backend/Dockerfile                               | Docker             |          7 |          0 |          0 |          7 |
| /Users/pedroottoni/ibiferti/backend/drizzle.config.ts                        | TypeScript         |         10 |          0 |          1 |         11 |
| /Users/pedroottoni/ibiferti/backend/drizzle/0000_concerned_chameleon.sql     | MS SQL             |         58 |          1 |          1 |         60 |
| /Users/pedroottoni/ibiferti/backend/drizzle/0001_smart_spacker_dave.sql      | MS SQL             |         16 |          2 |          0 |         18 |
